Research Title,Review Type
De-identified Data Analysis of Publicly Available Social Media,Exempt
Randomized Controlled Trial: A Clinical Trial of Patients with Stage IV Cancer,Full
Standardized Testing: A Survey of University Students,Expedited
Standardized Testing: A Educational Impact of Office Workers,Expedited
Retrospective Review of Public Records using Historical Archive Review,Exempt
Retrospective Review of Anonymized Medical Records using Historical Archive Review,Exempt
De-identified Data Analysis of Anonymized Medical Records using Curriculum Evaluation,Exempt
Data Mining: A Retrospective Review of Anonymized Medical Records,Exempt
Curriculum Evaluation: A Retrospective Review of Anonymized Medical Records,Exempt
Educational Impact of University Students using Standardized Testing,Expedited
Data Mining: A Retrospective Review of Publicly Available Social Media,Exempt
Randomized Controlled Trial: A Clinical Trial of Patients with Stage IV Cancer,Full
De-identified Data Analysis of Anonymized Medical Records using Historical Archive Review,Exempt
Randomized Controlled Trial: A Psychological Stress and Emergency Room Patients,Full
Non-Invasive Collection: A Survey of Office Workers,Expedited
Behavioral Observation of University Students,Expedited
Retrospective Review of Publicly Available Social Media using Curriculum Evaluation,Exempt
Historical Archive Review: A Secondary Data Study on Anonymized Medical Records,Exempt
Public Observation of Anonymized Medical Records,Exempt
Historical Archive Review: A Public Observation of Standard Educational Practices,Exempt
De-identified Data Analysis of Public Records using Curriculum Evaluation,Exempt
Longitudinal Physiological Monitoring: A Invasive Surgery for Minors with Trauma,Full
De-identified Data Analysis of Public Records,Exempt
Focus Group on Healthy Adults,Expedited
Strength Testing: A Behavioral Observation of University Students,Expedited
De-identified Data Analysis of Public Records,Exempt
De-identified Data Analysis of Publicly Available Social Media,Exempt
Focus Group on Nursing Staff,Expedited
Non-Invasive Collection: A Behavioral Observation of Office Workers,Expedited
Retrospective Review of Public Records,Exempt
Educational Impact of Healthy Adults,Expedited
Curriculum Evaluation: A Secondary Data Study on Publicly Available Social Media,Exempt
Video Recording Analysis: A Behavioral Observation of Healthy Adults,Expedited
Longitudinal Physiological Monitoring: A Efficacy of New Drug Emergency Room Patients,Full
Invasive Surgery for Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Curriculum Evaluation: A Public Observation of Standard Educational Practices,Exempt
Behavioral Observation of University Students using Strength Testing,Expedited
Non-Invasive Collection: A Educational Impact of Nursing Staff,Expedited
Survey of Office Workers using Video Recording Analysis,Expedited
Invasive Surgery for Emergency Room Patients,Full
De-identified Data Analysis of Publicly Available Social Media,Exempt
Analysis of Nursing Staff using Strength Testing,Expedited
Standardized Testing: A Educational Impact of Healthy Adults,Expedited
High-Risk Intervention in Minors with Trauma,Full
Analysis of Office Workers,Expedited
Data Mining: A Secondary Data Study on Standard Educational Practices,Exempt
Randomized Controlled Trial: A Invasive Surgery for Emergency Room Patients,Full
Non-Invasive Collection: A Educational Impact of Nursing Staff,Expedited
Standardized Testing: A Educational Impact of Office Workers,Expedited
De-identified Data Analysis of Standard Educational Practices,Exempt
Retrospective Review of Publicly Available Social Media using Curriculum Evaluation,Exempt
Educational Impact of Nursing Staff using Non-Invasive Collection,Expedited
Survey of Nursing Staff using Video Recording Analysis,Expedited
Public Observation of Anonymized Medical Records,Exempt
De-identified Data Analysis of Standard Educational Practices,Exempt
Secondary Data Study on Anonymized Medical Records,Exempt
Curriculum Evaluation: A Secondary Data Study on Anonymized Medical Records,Exempt
Non-Invasive Collection: A Educational Impact of University Students,Expedited
Focus Group on University Students,Expedited
De-identified Data Analysis of Publicly Available Social Media,Exempt
High-Risk Intervention in Minors with Trauma using Double-Blind Study,Full
Efficacy of New Drug Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Efficacy of New Drug Prisoners using Longitudinal Physiological Monitoring,Full
Randomized Controlled Trial: A Invasive Surgery for Minors with Trauma,Full
Strength Testing: A Survey of Office Workers,Expedited
Curriculum Evaluation: A De-identified Data Analysis of Public Records,Exempt
Historical Archive Review: A Public Observation of Standard Educational Practices,Exempt
Public Observation of Standard Educational Practices,Exempt
Clinical Trial of Emergency Room Patients,Full
Efficacy of New Drug Emergency Room Patients using Double-Blind Study,Full
Standardized Testing: A Focus Group on Office Workers,Expedited
Behavioral Observation of Nursing Staff using Strength Testing,Expedited
Non-Invasive Collection: A Survey of Nursing Staff,Expedited
Behavioral Observation of University Students,Expedited
Double-Blind Study: A Efficacy of New Drug Minors with Trauma,Full
Analysis of Healthy Adults using Video Recording Analysis,Expedited
Behavioral Observation of Healthy Adults using Standardized Testing,Expedited
Retrospective Review of Publicly Available Social Media using Curriculum Evaluation,Exempt
Invasive Surgery for Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Secondary Data Study on Publicly Available Social Media using Data Mining,Exempt
Non-Invasive Collection: A Focus Group on Healthy Adults,Expedited
Public Observation of Public Records,Exempt
Focus Group on Office Workers using Standardized Testing,Expedited
Curriculum Evaluation: A Secondary Data Study on Anonymized Medical Records,Exempt
Longitudinal Physiological Monitoring: A High-Risk Intervention in Patients with Stage IV Cancer,Full
Secondary Data Study on Publicly Available Social Media using Data Mining,Exempt
Public Observation of Public Records using Data Mining,Exempt
Standardized Testing: A Survey of Nursing Staff,Expedited
Efficacy of New Drug Emergency Room Patients,Full
Data Mining: A Public Observation of Public Records,Exempt
Analysis of Nursing Staff,Expedited
Longitudinal Physiological Monitoring: A Invasive Surgery for Emergency Room Patients,Full
Non-Invasive Collection: A Analysis of Office Workers,Expedited
Analysis of Nursing Staff,Expedited
Randomized Controlled Trial: A Efficacy of New Drug Minors with Trauma,Full
Psychological Stress and Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Randomized Controlled Trial: A Invasive Surgery for Patients with Stage IV Cancer,Full
Efficacy of New Drug Patients with Stage IV Cancer using Randomized Controlled Trial,Full
Behavioral Observation of Healthy Adults,Expedited
Educational Impact of University Students using Non-Invasive Collection,Expedited
Data Mining: A Secondary Data Study on Anonymized Medical Records,Exempt
Video Recording Analysis: A Educational Impact of University Students,Expedited
Analysis of University Students,Expedited
Survey of Healthy Adults,Expedited
De-identified Data Analysis of Anonymized Medical Records,Exempt
Psychological Stress and Patients with Stage IV Cancer using Double-Blind Study,Full
Retrospective Review of Standard Educational Practices using Curriculum Evaluation,Exempt
De-identified Data Analysis of Publicly Available Social Media using Data Mining,Exempt
Efficacy of New Drug Minors with Trauma,Full
Focus Group on University Students,Expedited
Psychological Stress and Emergency Room Patients,Full
Psychological Stress and Patients with Stage IV Cancer using Randomized Controlled Trial,Full
Invasive Surgery for Patients with Stage IV Cancer,Full
Retrospective Review of Standard Educational Practices using Historical Archive Review,Exempt
Analysis of University Students using Standardized Testing,Expedited
Data Mining: A Secondary Data Study on Publicly Available Social Media,Exempt
Behavioral Observation of Nursing Staff using Non-Invasive Collection,Expedited
Clinical Trial of Minors with Trauma,Full
Psychological Stress and Emergency Room Patients,Full
Clinical Trial of Emergency Room Patients using Longitudinal Physiological Monitoring,Full
Retrospective Review of Standard Educational Practices using Historical Archive Review,Exempt
Data Mining: A Secondary Data Study on Public Records,Exempt
Educational Impact of Nursing Staff using Video Recording Analysis,Expedited
Survey of Office Workers,Expedited
Survey of Office Workers,Expedited
High-Risk Intervention in Patients with Stage IV Cancer using Double-Blind Study,Full
Efficacy of New Drug Minors with Trauma,Full
Invasive Surgery for Prisoners using Randomized Controlled Trial,Full
High-Risk Intervention in Emergency Room Patients using Longitudinal Physiological Monitoring,Full
Psychological Stress and Emergency Room Patients using Randomized Controlled Trial,Full
Analysis of Office Workers using Video Recording Analysis,Expedited
Behavioral Observation of Office Workers,Expedited
Public Observation of Publicly Available Social Media,Exempt
Strength Testing: A Focus Group on University Students,Expedited
Behavioral Observation of Healthy Adults using Strength Testing,Expedited
Public Observation of Anonymized Medical Records using Data Mining,Exempt
Retrospective Review of Public Records using Data Mining,Exempt
Public Observation of Standard Educational Practices using Curriculum Evaluation,Exempt
Focus Group on Nursing Staff,Expedited
Video Recording Analysis: A Analysis of University Students,Expedited
Clinical Trial of Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Clinical Trial of Patients with Stage IV Cancer using Double-Blind Study,Full
Efficacy of New Drug Emergency Room Patients,Full
Survey of Healthy Adults,Expedited
Analysis of Healthy Adults using Video Recording Analysis,Expedited
Longitudinal Physiological Monitoring: A Clinical Trial of Patients with Stage IV Cancer,Full
Secondary Data Study on Public Records using Curriculum Evaluation,Exempt
Clinical Trial of Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Survey of Nursing Staff,Expedited
De-identified Data Analysis of Publicly Available Social Media using Data Mining,Exempt
Educational Impact of Healthy Adults,Expedited
Efficacy of New Drug Minors with Trauma,Full
Focus Group on Nursing Staff,Expedited
De-identified Data Analysis of Standard Educational Practices,Exempt
Public Observation of Public Records,Exempt
De-identified Data Analysis of Public Records using Curriculum Evaluation,Exempt
High-Risk Intervention in Prisoners,Full
Clinical Trial of Emergency Room Patients using Double-Blind Study,Full
Strength Testing: A Survey of Healthy Adults,Expedited
Behavioral Observation of Office Workers using Strength Testing,Expedited
Behavioral Observation of University Students,Expedited
Focus Group on Healthy Adults,Expedited
Invasive Surgery for Emergency Room Patients,Full
Survey of Healthy Adults,Expedited
Invasive Surgery for Emergency Room Patients,Full
Strength Testing: A Educational Impact of University Students,Expedited
Invasive Surgery for Emergency Room Patients,Full
Psychological Stress and Prisoners using Longitudinal Physiological Monitoring,Full
De-identified Data Analysis of Standard Educational Practices,Exempt
De-identified Data Analysis of Standard Educational Practices,Exempt
Secondary Data Study on Standard Educational Practices using Historical Archive Review,Exempt
Video Recording Analysis: A Behavioral Observation of Healthy Adults,Expedited
Retrospective Review of Public Records using Curriculum Evaluation,Exempt
Invasive Surgery for Patients with Stage IV Cancer using Longitudinal Physiological Monitoring,Full
Focus Group on Nursing Staff using Strength Testing,Expedited
Efficacy of New Drug Minors with Trauma,Full
Survey of Office Workers,Expedited
Data Mining: A Retrospective Review of Anonymized Medical Records,Exempt
Clinical Trial of Emergency Room Patients,Full
Public Observation of Public Records,Exempt
Longitudinal Physiological Monitoring: A Efficacy of New Drug Prisoners,Full
Data Mining: A Secondary Data Study on Standard Educational Practices,Exempt
Behavioral Observation of Office Workers,Expedited
De-identified Data Analysis of Anonymized Medical Records,Exempt
Retrospective Review of Public Records using Data Mining,Exempt
Secondary Data Study on Public Records using Historical Archive Review,Exempt
Retrospective Review of Public Records using Data Mining,Exempt
Efficacy of New Drug Emergency Room Patients using Double-Blind Study,Full
Video Recording Analysis: A Focus Group on Healthy Adults,Expedited
Clinical Trial of Minors with Trauma using Double-Blind Study,Full
High-Risk Intervention in Prisoners,Full
Secondary Data Study on Public Records,Exempt
Clinical Trial of Prisoners using Randomized Controlled Trial,Full
Data Mining: A Retrospective Review of Publicly Available Social Media,Exempt
Analysis of Office Workers using Non-Invasive Collection,Expedited
Non-Invasive Collection: A Behavioral Observation of Healthy Adults,Expedited
Clinical Trial of Minors with Trauma using Longitudinal Physiological Monitoring,Full
High-Risk Intervention in Patients with Stage IV Cancer using Double-Blind Study,Full
Survey of Healthy Adults using Strength Testing,Expedited
Focus Group on University Students,Expedited
Standardized Testing: A Behavioral Observation of Healthy Adults,Expedited
Educational Impact of University Students using Standardized Testing,Expedited
De-identified Data Analysis of Anonymized Medical Records,Exempt
Invasive Surgery for Patients with Stage IV Cancer,Full
Educational Impact of University Students using Video Recording Analysis,Expedited
Educational Impact of Office Workers,Expedited
Historical Archive Review: A De-identified Data Analysis of Public Records,Exempt
Double-Blind Study: A High-Risk Intervention in Minors with Trauma,Full
Double-Blind Study: A Invasive Surgery for Patients with Stage IV Cancer,Full
Focus Group on University Students using Standardized Testing,Expedited
Retrospective Review of Anonymized Medical Records,Exempt
Analysis of Office Workers,Expedited
Strength Testing: A Analysis of Healthy Adults,Expedited
Randomized Controlled Trial: A High-Risk Intervention in Emergency Room Patients,Full
Standardized Testing: A Survey of Office Workers,Expedited
Clinical Trial of Patients with Stage IV Cancer,Full
Curriculum Evaluation: A De-identified Data Analysis of Publicly Available Social Media,Exempt
Retrospective Review of Publicly Available Social Media using Historical Archive Review,Exempt
Public Observation of Anonymized Medical Records using Curriculum Evaluation,Exempt
Public Observation of Public Records,Exempt
Secondary Data Study on Public Records using Curriculum Evaluation,Exempt
Non-Invasive Collection: A Educational Impact of Office Workers,Expedited
Survey of Healthy Adults using Strength Testing,Expedited
Invasive Surgery for Prisoners,Full
Clinical Trial of Minors with Trauma using Randomized Controlled Trial,Full
High-Risk Intervention in Patients with Stage IV Cancer,Full
Randomized Controlled Trial: A High-Risk Intervention in Minors with Trauma,Full
Clinical Trial of Patients with Stage IV Cancer,Full
Longitudinal Physiological Monitoring: A Invasive Surgery for Minors with Trauma,Full
De-identified Data Analysis of Publicly Available Social Media,Exempt
Efficacy of New Drug Prisoners,Full
Randomized Controlled Trial: A Psychological Stress and Emergency Room Patients,Full
Longitudinal Physiological Monitoring: A Efficacy of New Drug Emergency Room Patients,Full
Historical Archive Review: A De-identified Data Analysis of Publicly Available Social Media,Exempt
Non-Invasive Collection: A Survey of University Students,Expedited
De-identified Data Analysis of Publicly Available Social Media,Exempt
Public Observation of Standard Educational Practices,Exempt
Behavioral Observation of Healthy Adults using Standardized Testing,Expedited
Strength Testing: A Educational Impact of University Students,Expedited
Survey of Healthy Adults,Expedited
Focus Group on University Students using Strength Testing,Expedited
De-identified Data Analysis of Standard Educational Practices,Exempt
Video Recording Analysis: A Behavioral Observation of University Students,Expedited
Video Recording Analysis: A Analysis of University Students,Expedited
Invasive Surgery for Emergency Room Patients using Longitudinal Physiological Monitoring,Full
Historical Archive Review: A De-identified Data Analysis of Standard Educational Practices,Exempt
Educational Impact of Office Workers,Expedited
Public Observation of Public Records,Exempt
Public Observation of Standard Educational Practices,Exempt
Strength Testing: A Educational Impact of University Students,Expedited
Randomized Controlled Trial: A Efficacy of New Drug Patients with Stage IV Cancer,Full
High-Risk Intervention in Patients with Stage IV Cancer,Full
Retrospective Review of Anonymized Medical Records,Exempt
Efficacy of New Drug Emergency Room Patients using Randomized Controlled Trial,Full
Efficacy of New Drug Minors with Trauma,Full
Behavioral Observation of Nursing Staff using Standardized Testing,Expedited
Secondary Data Study on Anonymized Medical Records,Exempt
Double-Blind Study: A Invasive Surgery for Minors with Trauma,Full
Behavioral Observation of University Students,Expedited
Invasive Surgery for Emergency Room Patients using Randomized Controlled Trial,Full
Non-Invasive Collection: A Focus Group on Office Workers,Expedited
Clinical Trial of Prisoners,Full
Behavioral Observation of Nursing Staff using Video Recording Analysis,Expedited
