text,label
Anonymous survey regarding workplace satisfaction among corporate employees. Data will be collected via... 304 subjects involved.,Exempt
Retrospective review of de-identified medical records for frequency of flu symptoms. The primary objective is... 437 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. Data will be collected via... 432 subjects involved.,Exempt
Analysis of existing public datasets regarding census information. Data will be collected via... 345 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. This study aims to... 231 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. This study aims to... 193 subjects involved.,Expedited
Research involving interviews with incarcerated individuals about prison conditions. This study aims to... 133 subjects involved.,Full Board
Surveying active drug users about illegal activities with identifiable data collection. This study aims to... 239 subjects involved.,Full Board
Collection of saliva samples from healthy adults to measure cortisol levels. The primary objective is... 326 subjects involved.,Expedited
Study on the psychological impact of past trauma in children under 10. Participants will be asked to... 348 subjects involved.,Full Board
Interviews with teachers about stress levels where names are linked to responses. Participants will be asked to... 261 subjects involved.,Expedited
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Data will be collected via... 126 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. The primary objective is... 186 subjects involved.,Exempt
Evaluation of a new math curriculum in a standard 4th-grade classroom environment. Data will be collected via... 234 subjects involved.,Exempt
Anonymous survey regarding workplace satisfaction among corporate employees. Participants will be asked to... 296 subjects involved.,Exempt
Observation of public behavior in a city park without any identifiers recorded. This study aims to... 131 subjects involved.,Exempt
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 450 subjects involved.,Expedited
Retrospective review of de-identified medical records for frequency of flu symptoms. Participants will be asked to... 84 subjects involved.,Exempt
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 124 subjects involved.,Expedited
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. The primary objective is... 219 subjects involved.,Full Board
Small blood draw via venipuncture from healthy non-pregnant adults. The primary objective is... 340 subjects involved.,Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. Participants will be asked to... 405 subjects involved.,Expedited
Interviews with teachers about stress levels where names are linked to responses. The primary objective is... 105 subjects involved.,Expedited
Anonymous survey regarding workplace satisfaction among corporate employees. This study aims to... 487 subjects involved.,Exempt
Interviews with teachers about stress levels where names are linked to responses. Data will be collected via... 114 subjects involved.,Expedited
Small blood draw via venipuncture from healthy non-pregnant adults. Data will be collected via... 272 subjects involved.,Expedited
Collection of saliva samples from healthy adults to measure cortisol levels. This study aims to... 336 subjects involved.,Expedited
Research on individual or group behavior using recorded voice or video data. Data will be collected via... 120 subjects involved.,Expedited
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. This study aims to... 48 subjects involved.,Full Board
Collection of saliva samples from healthy adults to measure cortisol levels. Data will be collected via... 10 subjects involved.,Expedited
Study using non-invasive heart rate monitors during light treadmill exercise. Participants will be asked to... 479 subjects involved.,Expedited
Analysis of existing public datasets regarding census information. The primary objective is... 59 subjects involved.,Exempt
Clinical trial testing a new pharmaceutical drug for hypertension in elderly patients. This study aims to... 365 subjects involved.,Full Board
Research involving intentional deception of participants regarding physical safety. The primary objective is... 456 subjects involved.,Full Board
