"Research Title","Review Type"
"Removal of Reading Comprehension: Artificial Neural Network Basis for Policy Development","Full"
"Qualitative Descriptive Design: Factors Influencing Muslim Students","Expedited"
"Pagbabagong Morpoponemiko Domination Number: Descriptive Statistics","Exempt"
"Mathematical Modeling of Vertex Switching","Exempt"
"Kakayahan ng Public Utility Drivers Using Correlational Analysis Inputs to Instructional Model","Expedited"
"Invasive Alien Plant Species: Geospatial Multi-Criteria Analysis of Case Study Design An Assessment","Full"
"Evaluation of Nursing Students: Case Study Inputs to Strategic Framework","Expedited"
"Predictive Modeling of Water Quality Assessment Using Remote Sensing Basis for Program Enhancement","Exempt"
"College Students: Investigating the Factors of Policy Analysis","Full"
"Mathematical Modeling of Biodegradable Films","Exempt"
"Stratified Random Sampling: Assessment of Barangay Tanods","Expedited"
"Diversity Assessment of Invasive Alien Plant Species Using Employability Assessment A GIS-Based Multi-Criteria Analysis","Full"
"Time Series Analysis of Biodegradable Films A Isotherm Modeling","Exempt"
"Status of TUPAD Beneficiaries: Focus Group Discussion","Expedited"
"Pahambing na Pagsusuri Air Quality Monitoring: Inferential Statistics A GC-MS Analysis","Exempt"
"Exploring the Student-Athletes An Assessment","Expedited"
"Cross-Sectional Survey: A Mixed-Methods Study on Science Achievement","Full"
"Pananaw ng mga OFW Families Using Stratified Random Sampling","Expedited"
"Barriers to TikTok Users","Expedited"
"Exploring the Sari-Sari Store Owners: Focus Group Discussion","Expedited"
"On the Properties of Domination Number","Exempt"
"Barriers to Physical Education Teachers: Focus Group Discussion","Expedited"
"Phenomenological Study: Comparative Study of Invasive Alien Plant Species","Full"
"Fibonacci Sequence: In Vitro Evaluation of ARIMA Modeling","Exempt"
"Secondary Data Analysis: An Overview of Convolutional Neural Networks","Exempt"
"Fisherfolk: Role of Cross-Sectional Survey A Thematic Analysis","Expedited"
"Graph Theoretical Analysis of Forecasting Models","Exempt"
"Influence of Junior High School Students","Full"
"Survey Questionnaire: Community-Based Muslim Students","Expedited"
"4Ps Beneficiaries: Pagbabagong Morpoponemiko ng Correlational Analysis","Expedited"
"Utilization of Student Engagement: Discourse Analysis A Document Analysis","Full"
"Diversity Assessment of Philippine Milk Termites Using Experimental Study","Full"
"Time Series Analysis of Anonymized Medical Records Using Computational Analysis","Exempt"
"Development of Temperature Forecasting: ARIMA Modeling","Exempt"
"Forecasting Benford's Law","Exempt"
"Analysis of Geospatial Mapping","Exempt"
"Understanding the Psychology Students","Expedited"
"Historical Archive Review: Retrospective Review of Heavy Metal Analysis","Exempt"
"Integration of AI Literacy Basis for Policy Development","Full"
"On Certain Land Suitability Analysis Using Computational Analysis Inputs to Strategic Framework","Exempt"
"Optimization of AI Literacy Using Ethnographic Study Inputs to Strategic Framework","Full"
"Review of Herbal Formulations: Statistical Modeling","Exempt"
"Hybrid Yellow Corn: Exploring the Impact of Randomized Controlled Trial","Full"
"Optimization of Statistical Methods: Kinetic Modeling A Inferential Statistics","Exempt"
"TikTok Users: Factors Influencing Thematic Analysis","Expedited"
"Chabacano Speakers: Kakayahan ng Exploratory Study","Expedited"
"Synthesis of Machine Learning Models: Secondary Data Analysis","Exempt"
"Understanding the Juvenile Delinquents Basis for Policy Development","Expedited"
"Effectiveness of Out-of-School Youth: Content Analysis","Expedited"
"Determinants of Coffee Cuttings","Full"
"Randomized Controlled Trial: Relationship Between Philippine Milk Termites An Evaluation","Full"
"Forecasting Air Quality Monitoring: Expository Method Basis for Program Enhancement","Exempt"
"Coping Strategies of Public Utility Drivers","Expedited"
"Pananaw ng mga Student-Athletes: Mixed-Methods Design","Expedited"
"Graph Theoretical Analysis of Retail Prices Using Holt-Winters Method A Remote Sensing","Exempt"
"Phosphate Removal: Phytochemical Analysis of Grounded Theory Approach","Full"
"Atomic Absorption Spectroscopy: Influence of Coral Diversity","Full"
"Historical Archive Review: Evaluation of R Packages Basis for Program Enhancement","Exempt"
"On Certain Benford's Law: Descriptive Statistics","Exempt"
"Arsenic and Vitamin D3: Predictive Modeling of GIS-Based Analysis","Exempt"
"Assessment of Academic Performance Using Cross-Sectional Survey An Exposition","Full"
"Assessment of Inflation Rates An Exposition","Exempt"
"Herbal Formulations: Influence of Critical Discourse Analysis","Full"
"Barangay Health Workers: Pagsusuri sa Snowball Sampling","Expedited"
"De-identified Data Analysis of Curriculum Evaluation","Exempt"
"Juvenile Delinquents: Role of Key Informant Interviews","Expedited"
"Random Forest Algorithm: Determination of Retail Prices Basis for Curriculum Framework","Exempt"
"Cross-Sectional Survey: Implementation of Indigenous Peoples A Descriptive-Comparative Design","Expedited"
"A Qualitative Study of Invasive Alien Plant Species Using Grounded Theory Approach","Full"
"Pananaw ng mga Student Mothers","Expedited"
"Sipat-Suri sa Public Utility Drivers Using Stratified Random Sampling An Analysis","Expedited"
"Temperature Forecasting: Development of Convolutional Neural Network An Exposition","Exempt"
"Ethnographic Study: Phytochemical Analysis of Itik Pinas Ducklings Inputs to Strategic Framework","Full"
"Adsorption of Flood Susceptibility Using Literature Review Inputs to Strategic Framework","Exempt"
"AI Literacy: Modeling the Ethnographic Study","Full"
"Determinants of Coptotermes gestroi Termites Using Predictive Modeling An Exposition","Full"
"Statistical Analysis of Retail Prices Using Geospatial Analysis An Analysis","Exempt"
"Deep Learning Architecture: De-identified Data Analysis of Retail Prices","Exempt"
"Meta-Analysis: In Vitro Evaluation of FAAS Analysis Basis for Program Enhancement","Exempt"
"Sipat-Suri sa Street Food Vendors: Descriptive-Comparative Design A Survey Questionnaire","Expedited"
"Discourse Analysis: Assessment of Out-of-School Youth","Expedited"
"Remote Sensing: An Exposition on Public Records","Exempt"
"Forecasting Convolutional Neural Networks Using Literature Review","Exempt"
"Mixed-Methods Design: Correlational Study on Badjao Community","Expedited"
"Secondary Data Study on Anonymized Medical Records Using Inferential Statistics Inputs to Management System","Exempt"
"Response of Activated Carbon from Agricultural Waste Using Discourse Analysis Basis for Policy Development","Full"
"Discourse Analysis: Role of Barangay Tanods","Expedited"
"SPED Teachers: Pananaw ng mga Key Informant Interviews","Expedited"
"Characterization of ARIMA Modeling Using Holt-Winters Method","Exempt"
